id,CLTV
89393,67414.28571428571
89394,251640.0
89395,65628.0
89396,83844.0
89397,67452.0
89398,246852.0
89399,51063.0
89400,230160.0
89401,43272.0
89402,220476.0
89403,64728.0
89404,72684.0
89405,33492.0
89406,35580.0
89407,32604.0
89408,146808.0
89409,90264.0
89410,239460.0
89411,60576.0
89412,59832.0
89413,314832.0
89414,46404.0
89415,31368.0
89416,358872.0
89417,397824.0
89418,82785.6
89419,33924.0
89420,64356.0
89421,626424.0
89422,307800.0
89423,418116.0
89424,46010.4
89425,77424.0
89426,71952.0
89427,322788.0
89428,194940.0
89429,100788.0
89430,61416.0
89431,66528.0
89432,121524.0
89433,149376.0
89434,35904.0
89435,45336.0
89436,72360.0
89437,38016.0
89438,158700.0
89439,32856.0
89440,60540.0
89441,156372.0
89442,52404.0
89443,102000.0
89444,48468.0
89445,187680.0
89446,82866.0
89447,63048.0
89448,477888.0
89449,59028.0
89450,63468.0
89451,365376.0
89452,60696.0
89453,102912.0
89454,63900.0
89455,51948.0
89456,293772.0
89457,283812.0
89458,160236.0
89459,155184.0
89460,156780.0
89461,60036.0
89462,96452.0
89463,217764.0
89464,92136.0
89465,196536.0
89466,353040.0
89467,158712.0
89468,57120.0
89469,67068.0
89470,39908.0
89471,78624.0
89472,71484.0
89473,107916.0
89474,93648.0
89475,59964.0
89476,185376.0
89477,32640.0
89478,54840.0
89479,68688.0
89480,47796.0
89481,45000.0
89482,58328.0
89483,63276.0
89484,34440.0
89485,302676.0
89486,96432.0
89487,65520.0
89488,68754.0
89489,101460.0
89490,111696.0
89491,304296.0
89492,72156.0
89493,31420.0
89494,37620.0
89495,107892.0
89496,67692.0
89497,64164.0
89498,66240.0
89499,29076.0
89500,68376.0
89501,69936.0
89502,48639.0
89503,412956.0
89504,103308.0
89505,61238.0
89506,32856.0
89507,64992.0
89508,135550.0
89509,44004.0
89510,61584.0
89511,62532.0
89512,175584.0
89513,101880.0
89514,49692.0
89515,50616.0
89516,35244.0
89517,64404.0
89518,31920.0
89519,64356.0
89520,34656.0
89521,32832.0
89522,48972.0
89523,27792.0
89524,47928.0
89525,59943.0
89526,89604.0
89527,35832.0
89528,73968.0
89529,56556.0
89530,94872.0
89531,103908.0
89532,46104.0
89533,33984.0
89534,280320.0
89535,68328.0
89536,62670.0
89537,102360.0
89538,58836.0
89539,176748.0
89540,63648.0
89541,104352.0
89542,102120.0
89543,61680.0
89544,66096.0
89545,34440.0
89546,490812.0
89547,77508.52173913043
89548,64992.0
89549,61440.0
89550,68916.0
89551,102180.0
89552,106380.0
89553,72948.0
89554,32544.0
89555,32652.0
89556,86616.0
89557,52380.0
89558,75216.0
89559,352104.0
89560,55176.0
89561,27744.0
89562,60456.0
89563,72696.0
89564,64152.0
89565,109682.66666666667
89566,236364.0
89567,62772.0
89568,94692.0
89569,181968.0
89570,148428.0
89571,73356.0
89572,32136.0
89573,79682.0
89574,31428.0
89575,61416.0
89576,101448.0
89577,31836.0
89578,106440.0
89579,108648.0
89580,100140.0
89581,102540.0
89582,34184.0
89583,70248.0
89584,104407.2
89585,34320.0
89586,36324.0
89587,63180.0
89588,45078.0
89589,49548.0
89590,68196.0
89591,149004.0
89592,102024.0
89593,98364.0
89594,70164.0
89595,347232.0
89596,80676.0
89597,48816.0
89598,92064.0
89599,63432.0
89600,158388.0
89601,187080.0
89602,68880.0
89603,102504.0
89604,95292.0
89605,34380.0
89606,360144.0
89607,96192.0
89608,63600.0
89609,126432.0
89610,70596.0
89611,66240.0
89612,104160.0
89613,100164.0
89614,60996.0
89615,53892.0
89616,390024.0
89617,61748.0
89618,67776.0
89619,66432.0
89620,58176.0
89621,66588.0
89622,151296.0
89623,63024.0
89624,194604.0
89625,33756.0
89626,62016.0
89627,45727.2
89628,35220.0
89629,88212.0
89630,58788.0
89631,104976.0
89632,51284.0
89633,62100.0
89634,31812.0
89635,224772.0
89636,55632.0
89637,38100.0
89638,122888.0
89639,91116.0
89640,188856.0
89641,32628.0
89642,67116.0
89643,118413.6
89644,33312.0
89645,261324.0
89646,136140.0
89647,34968.0
89648,44112.0
89649,70464.0
89650,107556.0
89651,84239.2
89652,97584.66666666667
89653,70476.0
89654,59172.0
89655,105468.0
89656,71508.0
89657,49761.0
89658,211488.0
89659,62028.0
89660,170508.0
89661,72828.0
89662,110484.0
89663,32610.0
89664,96504.0
89665,98400.0
89666,69456.0
89667,184428.0
89668,60708.0
89669,59736.0
89670,644592.0
89671,104808.0
89672,101616.0
89673,31932.0
89674,92124.0
89675,98904.0
89676,35676.0
89677,56292.0
89678,29712.0
89679,60096.0
89680,48904.0
89681,53208.0
89682,40119.0
89683,72204.0
89684,86364.0
89685,108744.0
89686,30600.0
89687,34128.0
89688,61452.0
89689,33312.0
89690,71628.0
89691,37416.0
89692,59868.0
89693,503868.0
89694,59808.0
89695,95340.0
89696,94932.0
89697,61764.0
89698,64752.0
89699,69636.0
89700,38616.0
89701,60948.0
89702,113184.0
89703,41796.0
89704,104004.0
89705,79344.0
89706,177597.0
89707,59517.6
89708,95136.0
89709,42852.0
89710,70872.0
89711,199608.0
89712,102876.0
89713,117228.0
89714,96264.0
89715,66876.0
89716,32172.0
89717,146448.0
89718,69996.0
89719,65388.0
89720,64920.0
89721,70224.0
89722,66432.0
89723,81197.33333333333
89724,66336.0
89725,117588.0
89726,51248.72727272727
89727,47605.333333333336
89728,42360.0
89729,102360.0
89730,109682.66666666667
89731,248496.0
89732,45021.47368421053
89733,102708.0
89734,49452.0
89735,518496.0
89736,90760.5
89737,139860.0
89738,37728.0
89739,80096.57142857143
89740,63396.0
89741,71836.0
89742,118656.0
89743,69432.0
89744,65257.89473684211
89745,69684.0
89746,30876.0
89747,68268.0
89748,111312.0
89749,64020.0
89750,123636.0
89751,66084.0
89752,42538.0
89753,300468.0
89754,268356.0
89755,68076.0
89756,31512.0
89757,150468.0
89758,55008.0
89759,71196.0
89760,31560.0
89761,63240.0
89762,105516.0
89763,91554.0
89764,106251.375
89765,69600.0
89766,90804.0
89767,61452.0
89768,94104.0
89769,61308.0
89770,64260.0
89771,58272.0
89772,64536.0
89773,92688.0
89774,254964.0
89775,107472.0
89776,100668.0
89777,65376.0
89778,440364.0
89779,38942.666666666664
89780,34656.0
89781,110885.14285714286
89782,64308.0
89783,276204.0
89784,62310.857142857145
89785,103152.0
89786,141780.0
89787,88016.0
89788,29496.0
89789,30336.0
89790,61560.0
89791,52680.0
89792,176784.0
89793,109464.0
89794,99036.0
89795,93894.0
89796,58584.0
89797,62664.0
89798,51526.0
89799,56904.0
89800,95904.0
89801,31320.0
89802,124944.0
89803,42132.0
89804,99972.0
89805,65916.0
89806,148452.0
89807,90552.0
89808,30732.0
89809,45924.0
89810,76692.0
89811,80275.0
89812,47376.0
89813,31828.0
89814,36012.0
89815,115824.0
89816,309312.0
89817,116016.0
89818,97452.0
89819,107220.0
89820,34158.0
89821,73680.0
89822,34440.0
89823,32080.0
89824,338124.0
89825,66096.0
89826,60864.0
89827,80268.0
89828,75168.0
89829,60408.0
89830,63640.0
89831,108816.0
89832,109948.0
89833,31428.0
89834,58752.0
89835,32280.0
89836,100380.0
89837,61476.0
89838,65060.0
89839,65700.0
89840,102936.0
89841,31140.0
89842,58152.0
89843,105936.0
89844,52768.8
89845,49816.0
89846,423528.0
89847,121764.0
89848,31392.0
89849,37104.0
89850,43452.0
89851,111168.0
89852,154224.0
89853,113028.0
89854,69012.0
89855,107334.85714285714
89856,67284.0
89857,41340.0
89858,114846.0
89859,73452.0
89860,53448.0
89861,113928.0
89862,48948.0
89863,34116.0
89864,70560.0
89865,54399.0
89866,67452.0
89867,440652.0
89868,51000.0
89869,33600.0
89870,142944.0
89871,44076.0
89872,30792.0
89873,237804.0
89874,75360.0
89875,65802.0
89876,64320.0
89877,32460.0
89878,64908.0
89879,65257.89473684211
89880,46808.0
89881,66348.0
89882,106752.0
89883,65856.0
89884,113265.0
89885,453624.0
89886,77508.52173913043
89887,195948.0
89888,90900.0
89889,69276.0
89890,54096.0
89891,46980.0
89892,65208.0
89893,64368.0
89894,48240.0
89895,46152.0
89896,70344.0
89897,73404.0
89898,29652.0
89899,326232.0
89900,70952.0
89901,110004.0
89902,150768.0
89903,52284.0
89904,64556.0
89905,60072.0
89906,73932.0
89907,90240.0
89908,54094.666666666664
89909,117984.0
89910,55140.0
89911,54420.0
89912,64896.0
89913,30840.0
89914,117000.0
89915,176568.0
89916,253212.0
89917,330492.0
89918,68460.0
89919,218484.0
89920,61764.0
89921,335220.0
89922,59352.0
89923,108336.0
89924,54840.0
89925,56376.0
89926,33252.0
89927,80196.0
89928,95280.0
89929,107796.0
89930,74814.0
89931,61140.0
89932,61356.0
89933,45912.0
89934,60516.0
89935,309180.0
89936,35508.0
89937,307380.0
89938,86016.0
89939,98736.0
89940,49632.0
89941,60204.0
89942,73908.0
89943,250620.0
89944,60732.0
89945,90708.0
89946,84568.0
89947,204240.0
89948,93300.0
89949,75900.0
89950,67764.0
89951,51792.0
89952,54396.0
89953,107472.0
89954,86140.0
89955,88160.0
89956,104376.0
89957,28044.0
89958,69144.0
89959,63900.0
89960,312444.0
89961,29952.0
89962,255444.0
89963,30516.0
89964,65829.6
89965,67200.0
89966,114228.0
89967,68004.0
89968,167052.0
89969,91128.0
89970,227604.0
89971,36420.0
89972,51996.0
89973,59172.0
89974,56676.0
89975,65316.0
89976,36768.0
89977,63180.0
89978,120888.0
89979,96648.0
89980,555264.0
89981,33840.0
89982,110436.0
89983,35064.0
89984,61248.0
89985,137532.0
89986,62664.0
89987,35016.0
89988,35472.0
89989,33312.0
89990,126936.0
89991,105864.0
89992,63672.0
89993,57732.0
89994,33228.0
89995,32592.0
89996,64374.0
89997,58248.0
89998,41228.0
89999,103632.0
90000,36012.0
90001,32916.0
90002,477840.0
90003,101844.0
90004,46128.0
90005,62724.0
90006,36792.0
90007,56328.0
90008,99744.0
90009,35064.0
90010,32760.0
90011,72168.0
90012,126648.0
90013,63264.0
90014,118260.0
90015,60540.0
90016,304092.0
90017,100068.0
90018,70850.0
90019,40330.28571428572
90020,31788.0
90021,97584.0
90022,36048.0
90023,30288.0
90024,102120.0
90025,62088.0
90026,66264.0
90027,123840.0
90028,37344.0
90029,32292.0
90030,31344.0
90031,64668.0
90032,48502.0
90033,311160.0
90034,99922.73684210527
90035,112620.0
90036,385944.0
90037,39756.0
90038,67692.0
90039,29808.0
90040,185052.0
90041,30792.0
90042,69768.0
90043,95340.0
90044,67236.0
90045,213660.0
90046,35844.0
90047,50556.0
90048,150132.0
90049,34272.0
90050,47316.0
90051,59424.0
90052,30012.0
90053,32604.0
90054,32016.0
90055,34416.0
90056,57636.0
90057,62916.0
90058,112272.0
90059,55356.0
90060,114024.0
90061,362388.0
90062,32604.0
90063,33204.0
90064,86496.0
90065,68280.0
90066,319164.0
90067,92124.0
90068,56556.0
90069,105456.0
90070,70392.0
90071,30156.0
90072,312144.0
90073,71868.0
90074,100272.0
90075,47605.333333333336
90076,33144.0
90077,309480.0
90078,133368.0
90079,35448.0
90080,29304.0
90081,56412.0
90082,68412.0
90083,71484.0
90084,100500.0
90085,70128.0
90086,510984.0
90087,185160.0
90088,144798.0
90089,42696.0
90090,37104.0
90091,55572.0
90092,411432.0
90093,47639.25
90094,43368.0
90095,73020.0
90096,117264.0
90097,162324.0
90098,71520.0
90099,31476.0
90100,33372.0
90101,139584.0
90102,32772.0
90103,126696.0
90104,318120.0
90105,100272.0
90106,64104.0
90107,61356.0
90108,34788.0
90109,35238.0
90110,79591.63636363637
90111,264120.0
90112,107796.0
90113,60672.0
90114,66324.0
90115,110832.0
90116,84744.0
90117,139080.0
90118,414864.0
90119,82785.6
90120,97812.0
90121,66360.0
90122,145644.0
90123,56388.0
90124,74436.0
90125,164796.0
90126,57852.0
90127,161808.0
90128,54504.0
90129,107478.0
90130,63420.0
90131,71460.0
90132,190620.0
90133,68904.0
90134,69036.0
90135,50676.0
90136,70560.0
90137,43569.333333333336
90138,109599.75
90139,56676.0
90140,279540.0
90141,407040.0
90142,144804.0
90143,69096.0
90144,33888.0
90145,54816.0
90146,100272.0
90147,50328.0
90148,61188.0
90149,60876.0
90150,49044.0
90151,96618.85714285714
90152,34764.0
90153,58632.0
90154,64656.0
90155,94056.0
90156,74316.0
90157,90000.0
90158,99228.0
90159,33240.0
90160,156756.0
90161,147420.0
90162,343644.0
90163,117324.0
90164,32508.0
90165,285948.0
90166,95400.0
90167,93216.0
90168,31800.0
90169,45360.0
90170,448128.0
90171,109608.0
90172,32244.0
90173,65904.0
90174,71160.0
90175,107508.0
90176,71472.0
90177,47131.0
90178,415380.0
90179,81197.33333333333
90180,58848.0
90181,34980.0
90182,52956.0
90183,214728.0
90184,69384.0
90185,69024.0
90186,100296.0
90187,63504.0
90188,442368.0
90189,59664.0
90190,43476.0
90191,255348.0
90192,36468.0
90193,176592.0
90194,71448.0
90195,61428.0
90196,36792.0
90197,55045.09090909091
90198,82037.14285714286
90199,63516.0
90200,78804.0
90201,45525.0
90202,67596.0
90203,65652.0
90204,100692.0
90205,369864.0
90206,71184.0
90207,317736.0
90208,59424.0
90209,34236.0
90210,173664.0
90211,47736.0
90212,65904.0
90213,92244.0
90214,63012.0
90215,35481.6
90216,32388.0
90217,63204.0
90218,57048.0
90219,63684.0
90220,65112.0
90221,96156.0
90222,64164.0
90223,114360.0
90224,32112.0
90225,46052.0
90226,87156.0
90227,48600.0
90228,45525.0
90229,60540.0
90230,31392.0
90231,32352.0
90232,165648.0
90233,67200.0
90234,61488.0
90235,69036.0
90236,59500.0
90237,106032.0
